YEAR,CASENUM,WEIGHT,A_CRAINJ,A_INTER,A_RELRD,A_INTSEC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_HR,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24
2015,201510443980,49.280305,2,2,4,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2015,201510443981,98.56061,3,2,4,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510443983,49.280305,2,2,4,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510443984,98.56061,3,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510443986,98.56061,3,2,4,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2015,201510443987,49.280305,2,2,1,2,3,2,1,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2015,201510443988,49.280305,2,2,4,2,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,2,1
2015,201510443989,197.12122,3,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510443993,197.12122,3,2,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510443997,49.280305,2,2,1,2,2,5,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2015,201510443998,98.56061,3,2,1,2,2,5,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2015,201510444000,89.85326,3,2,4,2,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2015,201510444001,89.85326,3,2,4,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2015,201510444002,89.85326,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2015,201510444004,89.85326,3,2,4,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2015,201510444005,179.70652,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444007,179.70652,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444008,89.85326,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2015,201510444010,89.85326,3,2,4,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510444029,54.292,3,2,4,2,2,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2
2015,201510444039,108.584,3,2,3,2,3,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444041,217.168,3,2,4,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2015,201510444046,107.77342,3,2,4,2,2,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,2,2,1
2015,201510444047,53.88671,2,2,4,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1
2015,201510444049,215.54684,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510444051,107.77342,3,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444052,53.88671,2,2,1,2,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
